"state_county","trump","biden","others"
"illinois,washington",1641,6115,165
"illinois,wayne",1187,7176,136
"illinois,white",1517,5791,123
"illinois,whiteside",12253,14527,595
"illinois,will",183915,155116,7235
"illinois,williamson",10206,22801,722
"illinois,winnebago",64056,60861,2793
"illinois,woodford",6160,14799,539
"indiana,adams",10686,3236,287
"indiana,allen",92083,73189,3810
"indiana,bartholomew",22410,12934,891
"indiana,benton",3007,1009,98
"indiana,blackford",3841,1376,133
"indiana,boone",22351,15244,925
"indiana,brown",5777,3036,168
"indiana,carroll",7086,2224,185
"indiana,cass",10552,4304,342
"indiana,clark",33668,23093,1108
"indiana,clay",9499,2552,216
"indiana,clinton",9334,3361,254
"indiana,crawford",3483,1355,106
"indiana,daviess",9576,2169,209
"indiana,dearborn",19528,5446,409
"indiana,decatur",9575,2439,273
"indiana,dekalb",14237,4966,425
"indiana,delaware",26827,20474,890
"indiana,dubois",15033,6292,445
"indiana,elkhart",46972,26108,1307
"indiana,fayette",7755,2237,144
"indiana,floyd",23400,17511,891
"indiana,fountain",6154,1629,203
"indiana,franklin",9691,2137,172
"indiana,fulton",6694,2280,173
"indiana,gibson",11817,4023,321
"indiana,grant",18543,8015,601
"indiana,greene",11103,3389,292
"indiana,hamilton",101587,88390,4022
"indiana,hancock",28996,12895,1020
"indiana,harrison",14565,5343,328
"indiana,hendricks",53802,32604,2099
"indiana,henry",15043,5544,443
"indiana,howard",26449,13303,878
"indiana,huntington",13147,4255,427
"indiana,jackson",14555,4302,381
"indiana,jasper",11383,3798,294
"indiana,jay",6361,1926,174
"indiana,jefferson",9663,4731,303
"indiana,jennings",9490,2523,238
"indiana,johnson",51219,24736,1663
"indiana,knox",11655,4067,289
"indiana,kosciusko",26499,8364,924
"indiana,lagrange",8110,2355,168
"indiana,lake",91760,124870,3326
"indiana,laporte",25997,22427,968
"indiana,lawrence",15601,4961,463
"indiana,madison",31215,19524,1054
"indiana,marion",134175,247772,7672
"indiana,marshall",13844,5712,371
"indiana,martin",4029,1011,104
"indiana,miami",10925,3235,313
"indiana,monroe",22071,39861,1219
"indiana,montgomery",12659,4213,326
"indiana,morgan",27512,7781,866
"indiana,newton",4942,1509,140
"indiana,noble",14195,4660,335
"indiana,ohio",2392,750,22
"indiana,orange",6432,2224,176
"indiana,owen",7286,2420,198
"indiana,parke",5398,1503,110
"indiana,perry",5345,3203,174
"indiana,pike",4692,1415,113
"indiana,porter",45008,39746,1755
"indiana,posey",9206,3811,219
"indiana,pulaski",4246,1463,97
"indiana,putnam",12278,3946,373
"indiana,randolph",8312,2513,245
"indiana,ripley",11261,2774,236
"indiana,rush",6035,1754,143
"indiana,st. joseph",53164,59896,2178
"indiana,scott",7328,2698,135
"indiana,shelby",14568,5023,400
"indiana,spencer",7357,3213,199
"indiana,starke",7466,2650,174
"indiana,steuben",11327,4513,322
"indiana,sullivan",6691,2153,150
"indiana,switzerland",3133,964,57
"indiana,tippecanoe",34581,35017,1850
"indiana,tipton",6110,1834,172
"indiana,union",2688,736,59
"indiana,vanderburgh",41844,34415,1403
"indiana,vermillion",5184,2145,152
"indiana,vigo",24545,18123,926
"indiana,wabash",10762,3494,317
"indiana,warren",3401,974,97
"indiana,warrick",21326,11923,580
"indiana,washington",9114,2784,241
"indiana,wayne",17567,9524,588
"indiana,wells",10855,2928,267
"indiana,white",7957,3032,177
"indiana,whitley",12862,4234,460
"iowa,adair",2917,1198,62
"iowa,adams",1530,590,40
"iowa,allamakee",4735,2576,111
"iowa,appanoose",4512,1891,113
"iowa,audubon",2295,1071,54
"iowa,benton",9188,5160,294
"iowa,black hawk",29640,35647,1306
"iowa,boone",8695,6303,342
"iowa,bremer",8294,5958,294
"iowa,buchanan",6420,4169,185
"iowa,buena vista",5056,2961,150
"iowa,butler",5542,2424,132
"iowa,calhoun",3689,1470,99
"iowa,carroll",7737,3454,144
"iowa,cass",4969,2201,106
"iowa,cedar",6161,4337,205
"iowa,cerro gordo",12442,10941,418
"iowa,cherokee",4495,1936,87
"iowa,chickasaw",4308,2233,90
"iowa,clarke",3144,1466,60
"iowa,clay",6137,2662,170
"iowa,clayton",6106,3340,148
"iowa,clinton",13361,10812,514
"iowa,crawford",4854,2220,80
"iowa,dallas",27987,26879,1156
"iowa,davis",3032,1013,57
"iowa,decatur",2615,1120,69
"iowa,delaware",6666,3157,180
"iowa,des moines",10592,8893,471
"iowa,dickinson",7438,3661,145
"iowa,dubuque",27214,25657,1055
"iowa,emmet",3265,1520,68
"iowa,fayette",6145,3835,206
"iowa,floyd",4732,3172,128
"iowa,franklin",3422,1626,82
"iowa,fremont",2711,1080,66
"iowa,greene",3223,1769,65
"iowa,grundy",4929,2206,141
"iowa,guthrie",4272,1985,114
"iowa,hamilton",4956,2843,144
"iowa,hancock",4390,1683,99
"iowa,hardin",5850,2976,163
"iowa,harrison",5569,2440,146
"iowa,henry",6507,3275,200
"iowa,howard",3127,1772,59
"iowa,humboldt",3819,1442,66
"iowa,ida",2880,917,52
"iowa,iowa",6009,3547,186
"iowa,jackson",6940,4029,166
"iowa,jasper",12084,7737,363
"iowa,jefferson",4443,4319,197
"iowa,johnson",22925,59177,1749
"iowa,jones",6572,4213,204
"iowa,keokuk",3797,1414,92
"iowa,kossuth",6275,2696,119
"iowa,lee",9773,6541,420
"iowa,linn",53364,70874,3220
"iowa,louisa",3500,1726,106
"iowa,lucas",3287,1284,59
"iowa,lyon",5707,1067,89
"iowa,madison",6507,3134,183
"iowa,mahaska",8297,2894,213
"iowa,marion",12663,6178,391
"iowa,marshall",9571,8176,389
"iowa,mills",5585,2508,175
"iowa,mitchell",3677,2053,92
"iowa,monona",3248,1407,73
"iowa,monroe",2975,1078,35
"iowa,montgomery",3659,1583,85
"iowa,muscatine",10823,9372,476
"iowa,o",5861,1569,121
"iowa,osceola",2690,601,37
"iowa,page",5319,2086,123
"iowa,palo alto",3370,1519,69
"iowa,plymouth",10492,3494,202
"iowa,pocahontas",2826,933,64
"iowa,polk",106800,146250,5705
"iowa,pottawattamie",26247,18575,922
"iowa,poweshiek",5657,4306,177
"iowa,ringgold",1968,709,37
"iowa,sac",4061,1389,85
"iowa,scott",43683,46926,1990
"iowa,shelby",4697,1959,139
"iowa,sioux",15680,3019,352
"iowa,story",20340,29175,1523
"iowa,tama",5303,3577,168
"iowa,taylor",2463,746,40
"iowa,union",4010,2061,114
"iowa,van buren",2859,875,57
"iowa,wapello",9516,5821,296
"iowa,warren",17782,12574,683
"iowa,washington",6971,4561,233
"iowa,wayne",2338,727,44
"iowa,webster",10938,6613,271
"iowa,winnebago",3707,2135,128
"iowa,winneshiek",6235,5617,212
"iowa,woodbury",25736,18704,922
"iowa,worth",2738,1596,84
"iowa,wright",4136,1996,122
"kansas,allen",4155,1559,128
"kansas,anderson",2874,765,81
"kansas,atchison",4826,2314,172
"kansas,barber",1992,284,37
"kansas,barton",8480,2302,198
"kansas,bourbon",4910,1505,135
"kansas,brown",3206,1088,102
"kansas,butler",22250,9003,693
"kansas,chase",1114,341,23
"kansas,chautauqua",1397,212,25
"kansas,cherokee",6622,2163,160
"kansas,cheyenne",1158,220,22
"kansas,clark",885,143,20
"kansas,clay",3129,883,122
"kansas,cloud",3182,893,104
"kansas,coffey",3407,928,113
"kansas,comanche",745,126,33
"kansas,cowley",9442,4171,345
"kansas,crawford",10045,6179,494
"kansas,decatur",1232,208,18
"kansas,dickinson",7045,2040,161
"kansas,doniphan",2949,678,55
"kansas,douglas",16737,39436,1773
"kansas,edwards",1127,267,19
"kansas,elk",1130,191,26
"kansas,ellis",9569,3633,350
"kansas,ellsworth",2106,646,61
"kansas,finney",7079,4155,272
"kansas,ford",5763,2926,161
"kansas,franklin",8326,3623,298
"kansas,geary",5193,3825,293
"kansas,gove",1256,163,14
"kansas,graham",1052,222,28
"kansas,grant",1910,497,45
"kansas,gray",1871,337,32
"kansas,greeley",537,77,15
"kansas,greenwood",2404,562,70
"kansas,hamilton",684,134,19
"kansas,harper",2128,453,47
"kansas,harvey",10015,6652,453
"kansas,haskell",1103,261,19
"kansas,hodgeman",866,151,16
"kansas,jackson",4435,1852,181
"kansas,jefferson",6193,3106,282
"kansas,jewell",1369,211,28
"kansas,johnson",155631,184259,9496
"kansas,kearny",1134,255,24
"kansas,kingman",3102,745,82
"kansas,kiowa",957,153,29
"kansas,labette",5639,2607,168
"kansas,lane",757,114,17
"kansas,leavenworth",21378,13753,984
"kansas,lincoln",1273,266,31
"kansas,linn",3940,863,108
"kansas,logan",1231,185,21
"kansas,lyon",7381,5878,363
"kansas,mcpherson",9562,3977,362
"kansas,marion",4377,1463,129
"kansas,marshall",3662,1239,128
"kansas,meade",1508,261,38
"kansas,miami",12116,5133,406
"kansas,mitchell",2454,547,38
"kansas,montgomery",9768,3147,262
"kansas,morris",2085,721,43
"kansas,morton",1004,147,12
"kansas,nemaha",4612,920,105
"kansas,neosho",4795,1727,107
"kansas,ness",1315,147,25
"kansas,norton",1977,361,52
"kansas,osage",5591,2099,203
"kansas,osborne",1590,275,39
"kansas,ottawa",2581,504,76
"kansas,pawnee",2028,635,49
"kansas,phillips",2388,318,46
"kansas,pottawatomie",9247,3257,311
"kansas,pratt",3087,924,96
"kansas,rawlins",1253,214,31
"kansas,reno",17948,8602,695
"kansas,republic",2172,420,51
"kansas,rice",3187,953,90
"kansas,riley",11174,11940,910
"kansas,rooks",2294,332,40
"kansas,rush",1425,291,32
"kansas,russell",2765,591,80
"kansas,saline",15313,8022,666
"kansas,scott",1991,290,44
"kansas,sedgwick",117653,90820,6015
"kansas,seward",3285,1736,78
"kansas,shawnee",40443,43015,2664
"kansas,sheridan",1237,144,16
"kansas,sherman",2222,386,65
"kansas,smith",1734,328,30
"kansas,stafford",1631,355,31
"kansas,stanton",607,147,13
"kansas,stevens",1731,233,33
"kansas,sumner",7998,2551,267
"kansas,thomas",3106,622,66
"kansas,trego",1341,238,24
"kansas,wabaunsee",2813,956,92
"kansas,wallace",762,44,11
"kansas,washington",2332,467,56
"kansas,wichita",803,147,11
"kansas,wilson",3111,711,77
"kansas,woodson",1189,283,24
"kansas,wyandotte",18512,35566,1301
"kentucky,adair",7276,1392,100
"kentucky,allen",7587,1642,135
"kentucky,anderson",9661,3348,245
"kentucky,ballard",3356,825,44
"kentucky,barren",14654,5127,283
"kentucky,bath",3986,1573,68
"kentucky,bell",8140,1789,115
"kentucky,boone",44814,20901,1283
"kentucky,bourbon",6190,3296,162
"kentucky,boyd",14295,7083,373
"kentucky,boyle",8872,5298,308
"kentucky,bracken",3398,800,48
"kentucky,breathitt",4265,1301,95
"kentucky,breckinridge",7701,2350,150
"kentucky,bullitt",30708,10552,738
"kentucky,butler",4960,1079,86
"kentucky,caldwell",4906,1433,95
"kentucky,calloway",11352,5797,308
"kentucky,campbell",28482,19374,1022
"kentucky,carlisle",2159,463,16
"kentucky,carroll",2954,1116,66
"kentucky,carter",8775,2642,169
"kentucky,casey",6179,918,74
"kentucky,christian",15080,8296,487
"kentucky,clark",11811,6004,324
"kentucky,clay",6677,831,83
"kentucky,clinton",4280,603,49
"kentucky,crittenden",3451,731,60
"kentucky,cumberland",2769,508,32
"kentucky,daviess",31025,17286,976
"kentucky,edmonson",4828,1227,77
"kentucky,elliott",2246,712,37
"kentucky,estill",5100,1355,85
"kentucky,fayette",58860,90600,3452
"kentucky,fleming",5534,1474,60
"kentucky,floyd",12250,3884,219
"kentucky,franklin",12900,12652,520
"kentucky,fulton",1606,794,26
"kentucky,gallatin",2955,822,72
"kentucky,garrard",6754,1830,122
"kentucky,grant",8725,2205,178
"kentucky,graves",13206,3560,253
"kentucky,grayson",9453,2400,132
"kentucky,green",4838,920,54
"kentucky,greenup",13064,4873,239
"kentucky,hancock",3145,1351,91
"kentucky,hardin",29832,18101,1008
"kentucky,harlan",9367,1494,110
"kentucky,harrison",6334,2400,125
"kentucky,hart",6345,1908,117
"kentucky,henderson",12730,7639,328
"kentucky,henry",5843,2142,125
"kentucky,hickman",1714,458,27
"kentucky,hopkins",15757,5439,316
"kentucky,jackson",5453,605,55
"kentucky,jefferson",150646,228358,7625
"kentucky,jessamine",17096,8567,617
"kentucky,johnson",8450,1608,134
"kentucky,kenton",48129,32271,1798
"kentucky,knott",4780,1412,60
"kentucky,knox",11012,2114,147
"kentucky,larue",5685,1504,112
"kentucky,laurel",23237,4475,399
"kentucky,lawrence",5633,1238,84
"kentucky,lee",2273,481,47
"kentucky,leslie",4321,446,46
"kentucky,letcher",7226,1799,110
"kentucky,lewis",4986,823,74
"kentucky,lincoln",8489,2254,171
"kentucky,livingston",4010,939,55
"kentucky,logan",9067,3094,189
"kentucky,lyon",3100,1092,36
"kentucky,mccracken",21820,11195,534
"kentucky,mccreary",5664,725,49
"kentucky,mclean",3633,1074,75
"kentucky,madison",27356,15581,1020
"kentucky,magoffin",4174,1214,59
"kentucky,marion",6113,2722,93
"kentucky,marshall",13297,4071,235
"kentucky,martin",3496,403,37
"kentucky,mason",5477,2362,119
"kentucky,meade",10185,3632,296
"kentucky,menifee",2311,750,41
"kentucky,mercer",8506,3033,196
"kentucky,metcalfe",3959,975,78
"kentucky,monroe",4628,657,45
"kentucky,montgomery",8993,3630,219
"kentucky,morgan",4301,1175,68
"kentucky,muhlenberg",10497,3545,193
"kentucky,nelson",15703,7188,365
"kentucky,nicholas",2408,955,33
"kentucky,ohio",8582,2404,143
"kentucky,oldham",22654,14505,817
"kentucky,owen",4292,1098,68
"kentucky,owsley",1671,216,9
"kentucky,pendleton",5515,1322,88
"kentucky,perry",8129,2356,141
"kentucky,pike",20284,4866,245
"kentucky,powell",4041,1367,97
"kentucky,pulaski",25442,5666,449
"kentucky,robertson",884,253,9
"kentucky,rockcastle",6577,1134,73
"kentucky,rowan",5994,3880,191
"kentucky,russell",7519,1331,105
"kentucky,scott",17767,10567,635
"kentucky,shelby",15055,8077,418
"kentucky,simpson",5888,2681,163
"kentucky,spencer",8737,2530,166
"kentucky,taylor",9376,2963,178
"kentucky,todd",4062,1205,96
"kentucky,trigg",5487,1791,98
"kentucky,trimble",3227,1012,81
"kentucky,union",4965,1529,83
"kentucky,warren",31791,22479,1131
"kentucky,washington",4482,1644,99
"kentucky,wayne",7430,1700,110
"kentucky,webster",4506,1412,75
"kentucky,whitley",12567,2552,237
"kentucky,wolfe",2097,839,43
"kentucky,woodford",8362,6530,319
"louisiana,acadia",22596,5443,386
"louisiana,allen",7574,2108,128
"louisiana,ascension",40687,20399,1239
"louisiana,assumption",7271,3833,131
"louisiana,avoyelles",12028,4979,285
"louisiana,beauregard",13575,2542,240
"louisiana,bienville",3891,3067,92
"louisiana,bossier",38074,15662,919
"louisiana,caddo",48021,55110,1781
"louisiana,calcasieu",55066,25982,1615
"louisiana,caldwell",3976,745,41
"louisiana,cameron",3671,324,44
"louisiana,catahoula",3541,1269,48
"louisiana,claiborne",3770,2731,79
"louisiana,concordia",5550,3177,101
"louisiana,desoto",9112,5457,167
"louisiana,east baton rouge",88420,115577,4185
"louisiana,east carroll",1080,1900,56
"louisiana,east feliciana",6064,4280,165
"louisiana,evangeline",11053,4158,201
"louisiana,franklin",6970,2658,92
"louisiana,grant",8117,1157,118
"louisiana,iberia",21251,11027,435
"louisiana,iberville",7893,8514,312
"louisiana,jackson",5394,2143,95
"louisiana,jefferson",105949,84477,3307
"louisiana,jeff davis",11423,3208,210
"louisiana,lafayette",72519,39685,2317
"louisiana,lafourche",36024,8672,692
"louisiana,lasalle",6378,638,61
"louisiana,lincoln",11311,7559,405
"louisiana,livingston",54877,9249,1104
"louisiana,madison",1930,2654,86
"louisiana,morehouse",6510,4946,118
"louisiana,natchitoches",9358,6896,300
"louisiana,orleans",26664,147854,3301
"louisiana,ouachita",42255,25913,998
"louisiana,plaquemines",7412,3414,188
"louisiana,pointe coupee",7503,4683,185
"louisiana,rapides",38347,19475,1043
"louisiana,red river",2413,1644,75
"louisiana,richland",6607,3225,108
"louisiana,sabine",8776,1731,89
"louisiana,st. bernard",11179,6151,320
"louisiana,st. charles",18233,9800,484
"louisiana,st. helena",2714,3346,98
"louisiana,st. james",5954,6510,126
"louisiana,st. john the baptist",7538,13582,312
"louisiana,st. landry",23171,17372,611
"louisiana,st. martin",18203,8439,396
"louisiana,st. mary",14811,8055,320
"louisiana,st. tammany",99666,37746,2698
"louisiana,tangipahoa",37806,18887,968
"louisiana,tensas",1197,1329,28
"louisiana,terrebonne",34339,11198,703
"louisiana,union",8407,2654,140
"louisiana,vermilion",21930,5009,385
"louisiana,vernon",14107,2898,263
"louisiana,washington",13307,5970,236
"louisiana,webster",11830,6172,214
"louisiana,west baton rouge",7684,6200,213
"louisiana,west carroll",4317,710,25
"louisiana,west feliciana",3863,2298,107
"louisiana,winn",4619,1543,63
"maine,abbot",121,451,3
"maine,acton",651,801,49
"maine,addison",235,224,7
"maine,albion",385,948,18
"maine,alexander",73,95,9
"maine,alfred",983,174,11
"maine,allagash",74,293,17
"maine,alna",320,115,34
"maine,alton",169,96,16
"maine,amherst",64,293,49
"maine,amity",27,796,11
"maine,andover",223,407,69
"maine,anson",398,104,15
"maine,appleton",478,1347,130
"maine,arrowsic",260,376,105
"maine,arundel",1405,332,247
"maine,ashland",231,122,220
"maine,athens",167,5409,36
"maine,atkinson",49,4155,19
"maine,auburn",6482,42,218
"maine,augusta",5248,164,63
"maine,aurora",29,421,413
"maine,avon",96,623,117
"maine,baileyville",239,6065,3
"maine,baldwin",350,804,107
"maine,bangor",9452,68,4
"maine,bar harbor",2678,1540,71
"maine,baring plt.",42,191,22
"maine,bath",3421,60,73
"maine,beals",98,36,52
"maine,beaver cove",59,1259,76
"maine,beddington",13,1166,44
"maine,belfast",2847,319,230
"maine,belgrade",994,984,63
"maine,belmont",259,2229,186
"maine,benton",607,749,35
"maine,berwick",1999,3705,18
"maine,bethel",1006,349,31
"maine,biddeford",7022,298,49
"maine,bingham",215,624,55
"maine,blaine",97,922,33
"maine,blue hill",1310,545,63
"maine,boothbay",1229,1079,15
"maine,boothbay harbor",814,856,15
"maine,bowdoin",755,76,54
"maine,bowdoinham",1123,485,6
"maine,bowerbank",41,485,160
"maine,bradford",188,185,3
"maine,bradley",378,2568,74
"maine,bremen",367,214,7
"maine,brewer",2533,1528,38
"maine,bridgewater",77,29,18
"maine,bridgton",1656,808,45
"maine,brighton plt.",16,189,10
"maine,bristol",1275,317,197
"maine,brooklin",426,219,41
"maine,brooks",246,466,256
"maine,brooksville",450,467,21
"maine,brownfield",468,3733,75
"maine,brownville",280,636,63
"maine,brunswick",9728,1481,12
"maine,buckfield",436,145,126
"maine,bucksport",1278,389,3
"maine,burlington",56,2686,59
"maine,burnham",234,58,24
"maine,buxton",2416,856,40
"maine,byron",31,176,68
"maine,calais",626,832,11
"maine,cambridge",72,749,86
"maine,camden",2931,374,10
"maine,canaan",384,1462,40
"maine,canton",154,36,27
"maine,cape elizabeth",5349,2262,17
"maine,caratunk",24,1183,1
"maine,caribou",1702,164,26
"maine,carmel",560,73,6
"maine,carrabassett valley",348,214,54
"maine,carroll plt.",14,0,11
"maine,carthage",88,1184,4
"maine,cary plt.",0,136,9
"maine,casco",1036,130,5
"maine,castine",346,73,23
"maine,castle hill",97,177,7
"maine,caswell",59,580,27
"maine,chapman",97,145,17
"maine,charleston",164,917,31
"maine,charlotte",68,417,25
"maine,chelsea",605,261,68
"maine,cherryfield",212,460,16
"maine,chester",61,1395,36
"maine,chesterville",314,324,7
"maine,china",1107,1098,17
"maine,clifton",187,156,9
"maine,clinton",641,204,14
"maine,columbia",67,60,43
"maine,columbia falls",119,44,31
"maine,cooper",33,847,23
"maine,coplin plt.",59,1147,23
"maine,corinna",363,478,6
"maine,corinth",390,471,35
"maine,cornish",429,36,6
"maine,cornville",283,45,92
"maine,cranberry isles",95,120,15
"maine,crawford",18,1800,9
"maine,crystal",39,520,16
"maine,cumberland",4074,218,13
"maine,cushing",424,30,24
"maine,cutler",86,104,2
"maine,cyr plt.",26,463,47
"maine,dallas plt.",98,314,9
"maine,damariscotta",980,756,34
"maine,danforth",98,35,10
"maine,dayton",582,582,27
"maine,deblois",5,496,8
"maine,dedham",545,392,27
"maine,deer isle",806,19,13
"maine,denmark",404,214,36
"maine,dennistown plt.",5,276,48
"maine,dennysville",137,1169,27
"maine,detroit",151,803,47
"maine,dexter",617,446,56
"maine,dixfield",460,1356,0
"maine,dixmont",265,580,66
"maine,dover",914,13,6
"maine,dresden",542,1333,9
"maine,drew plt.",5,106,11
"maine,durham",1361,256,18
"maine,dyer brook",40,148,26
"maine,eagle lake",197,528,12
"maine,eastbrook",65,567,21
"maine,east machias",270,467,48
"maine,east millinocket",370,339,55
"maine,easton",241,903,63
"maine,eastport",474,348,67
"maine,eddington",503,66,129
"maine,edgecomb",510,1788,14
"maine,edinburg",36,2359,25
"maine,eliot",2839,374,33
"maine,ellsworth",2274,585,54
"maine,embden",181,495,78
"maine,enfield",279,255,92
"maine,etna",216,366,183
"maine,eustis",173,1845,52
"maine,exeter",190,2672,99
"maine,fairfield",1428,768,41
"maine,falmouth",6147,1541,28
"maine,farmingdale",903,421,49
"maine,farmington",2225,985,29
"maine,fayette",388,1141,67
"maine,fort fairfield",674,441,16
"maine,fort kent",1069,459,120
"maine,frankfort",220,236,6
"maine,franklin",381,1675,29
"maine,freedom",201,19,48
"maine,freeport",4327,361,33
"maine,frenchboro",12,477,78
"maine,frenchville",235,813,22
"maine,friendship",309,1471,17
"maine,fryeburg",1060,42,59
"maine,gardiner",1694,409,6
"maine,garfield plt.",11,294,175
"maine,garland",177,66,9
"maine,georgetown",525,1612,227
"maine,gilead",48,1,17
"maine,glenburn",1108,4275,65
"maine,glenwood plt.",0,612,5
"maine,gorham",6460,119,118
"maine,gouldsboro",477,60,26
"maine,grand isle",107,2557,29
"maine,grand lake stream plt",37,25,39
"maine,gray",2653,499,24
"maine,great pond",18,1663,36
"maine,greenbush",193,644,13
"maine,greene",914,242,32
"maine,greenville",486,466,32
"maine,greenwood",278,445,12
"maine,guilford",248,61,123
"maine,hallowell",1277,34,27
"maine,hamlin",48,2265,46
"maine,hammond",11,778,9
"maine,hampden",2451,92,64
"maine,hancock",659,326,12
"maine,hanover",101,1423,20
"maine,harmony",151,363,16
"maine,harpswell",2379,796,21
"maine,harrington",168,428,20
"maine,harrison",741,610,25
"maine,hartford",278,50,70
"maine,hartland",266,427,48
"maine,haynesville",12,2427,7
"maine,hebron",323,0,31
"maine,hermon",1447,71,34
"maine,hersey",8,528,49
"maine,highland plt.",42,613,84
"maine,hiram",373,1200,18
"maine,hodgdon",185,1535,37
"maine,holden",871,443,28
"maine,hollis",1268,1639,4
"maine,hope",653,390,15
"maine,houlton",1046,484,8
"maine,howland",221,54,9
"maine,hudson",120,69,19
"maine,penobscot nation vot dst",237,253,7
"maine,indian township vtng dst",191,306,9
"maine,industry",232,9,27
"maine,island falls",132,120,25
"maine,isle au haut",54,387,49
"maine,islesboro",309,191,57
"maine,jackman",144,1375,10
"maine,jackson",134,951,82
"maine,jay",1220,212,32
"maine,jefferson",679,447,127
"maine,jonesboro",124,514,18
"maine,jonesport",243,2682,94
"maine,kenduskeag",242,926,2
"maine,kennebunk",5368,444,118
"maine,kennebunkport",1777,0,13
"maine,kingfield",407,1809,10
"maine,kingsbury plt.",0,315,11
"maine,kittery",4418,248,43
"maine,knox",147,71,17
"maine,lagrange",101,38,113
"maine,lake view plt.",40,576,17
"maine,lakeville",29,2178,237
"maine,lamoine",616,350,44
"maine,lebanon",1232,818,347
"maine,lee",140,1149,18
"maine,leeds",505,7232,67
"maine,levant",477,308,31
"maine,lewiston",9616,948,52
"maine,liberty",265,423,75
"maine,limerick",813,1357,7
"maine,limestone",325,1723,79
"maine,limington",856,20,23
"maine,lincoln",813,551,128
"maine,lincoln plt.",12,411,55
"maine,lincolnville",1059,2853,28
"maine,linneus",93,1260,26
"maine,lisbon",2190,381,34
"maine,litchfield",850,783,7
"maine,littleton",141,809,16
"maine,livermore",573,53,7
"maine,livermore falls",540,353,39
"maine,long island",133,193,22
"maine,lovell",399,406,65
"maine,lowell",56,169,19
"maine,lubec",457,1537,22
"maine,ludlow",78,461,11
"maine,lyman",1315,337,15
"maine,machias",395,30,46
"maine,machiasport",216,940,10
"maine,macwahoc plt.",12,1411,34
"maine,madawaska",1143,10,17
"maine,madison",928,810,11
"maine,magalloway plt.",6,726,6
"maine,manchester",832,191,4
"maine,mapleton",406,208,7
"maine,mariaville",113,511,0
"maine,marshfield",102,85,31
"maine,mars hill",222,14,5
"maine,masardis",34,257,41
"maine,matinicus isle plt.",36,48,5
"maine,mattawamkeag",120,989,10
"maine,maxfield",17,70,13
"maine,mechanic falls",650,112,25
"maine,meddybemps",28,550,8
"maine,medford",46,283,41
"maine,medway",195,91,22
"maine,mercer",183,676,60
"maine,merrill",43,391,42
"maine,mexico",556,922,28
"maine,milbridge",326,1310,71
"maine,milford",861,781,15
"maine,millinocket",1049,1040,70
"maine,milo",410,7,16
"maine,minot",676,1397,26
"maine,monhegan plt.",51,266,4
"maine,monmouth",1079,289,22
"maine,monroe",308,335,6
"maine,monson",173,266,2
"maine,monticello",96,107,11
"maine,montville",346,27,25
"maine,moose river",13,355,6
"maine,moro plt.",2,199,48
"maine,morrill",242,81,16
"maine,moscow",74,381,48
"maine,mount chase",39,560,3
"maine,mount desert",1066,1389,38
"maine,mount vernon",576,16,15
"maine,naples",1039,599,53
"maine,nashville plt.",7,93,19
"maine,newburgh",366,403,95
"maine,new canada",61,575,12
"maine,newcastle",923,1757,32
"maine,newfield",362,253,32
"maine,new gloucester",1720,1118,5
"maine,new limerick",115,266,29
"maine,newport",584,119,17
"maine,new portland",185,528,29
"maine,newry",163,178,37
"maine,new sharon",391,293,42
"maine,new sweden",137,559,70
"maine,new vineyard",154,1128,25
"maine,nobleboro",729,1557,40
"maine,norridgewock",687,81,51
"maine,north berwick",1465,85,51
"maine,northfield",38,408,98
"maine,north haven",221,1018,26
"maine,northport",670,1363,108
"maine,north yarmouth",1862,286,72
"maine,norway",1400,1853,84
"maine,oakfield",111,311,172
"maine,oakland",1681,2368,87
"maine,ogunquit",731,1668,42
"maine,old orchrd bch",3708,68,177
"maine,old town",2365,693,50
"maine,orient",22,1200,13
"maine,orland",691,1405,15
"maine,orono",3728,31,20
"maine,orrington",1089,323,38
"maine,osborn",10,605,12
"maine,otis",153,454,49
"maine,otisfield",535,22,43
"maine,owl",584,1456,24
"maine,oxbow plt.",13,537,63
"maine,oxford",807,800,8
"maine,palermo",381,1494,19
"maine,palmyra",325,333,8
"maine,paris",1280,564,22
"maine,parkman",148,165,5
"maine,parsonsfield",469,362,19
"maine,passadumkeag",55,267,14
"maine,patten",149,306,15
"maine,pembroke",208,146,29
"maine,penobscot",512,258,28
"maine,perham",62,561,46
"maine,perry",206,385,47
"maine,peru",322,745,38
"maine,phillips",252,1156,11
"maine,phippsburg",794,1034,28
"maine,pittsfield",817,35,65
"maine,pittston",691,40,69
"maine,pleasant point votng dst",196,505,700
"maine,pleasant ridge plt.",12,1906,34
"maine,plymouth",230,160,554
"maine,poland",1513,521,19
"maine,portage lake",99,6486,77
"maine,porter",328,489,18
"maine,portland",33786,2266,16
"maine,pownal",685,340,19
"maine,presque isle",1859,242,28
"maine,princeton",118,533,19
"maine,prospect",170,449,59
"maine,randolph",467,86,68
"maine,rangeley",294,1472,8
"maine,rangeley plt.",57,818,62
"maine,raymond",1589,58,58
"maine,readfield",943,1056,19
"maine,reed plt.",23,195,59
"maine,richmond",934,221,40
"maine,ripley",100,1363,18
"maine,robbinston",128,776,45
"maine,rockland",2493,350,31
"maine,rockport",1694,80,216
"maine,rome",340,147,54
"maine,roque bluffs",101,1502,208
"maine,roxbury",89,1765,10
"maine,rumford",1275,4497,36
